key	value
session	pipy-tui-verify-3519
pane_columns	100
pane_rows	24
prompt	hello world
expected_output	Hello!
command	uv run pipy repl --native-provider openai-codex --native-model gpt-5.5
total_frames	13
active_frames	11
settled	yes
anomaly_count	0
screen_metrics	docs/audit/2026-05-28/hello-world-rows24-after-fix/pipy/screen-metrics.jsonl
terminal_report	docs/audit/2026-05-28/hello-world-rows24-after-fix/pipy/terminal-report.json
