frame	phase	cursor_x	cursor_y	pane_active
0	startup	0	20	1
1	active	0	18	1
2	active	0	18	1
3	active	0	18	1
4	active	0	18	1
5	active	0	18	1
6	active	0	18	1
7	active	0	18	1
8	active	0	18	1
9	active	0	18	1
10	active	0	18	1
11	active	0	18	1
12	final	0	18	1
