label	frame	needle	count	rows
pipy	7	Reply exactly: Hello!	1	16
pipy	7	Working...	1	19
pipy	7	Hello!	1	16
pipy	7	$0.000 (sub) 0.0%/272k	1	25
pi	7	Reply exactly: Hello!	1	16
pi	7	Working...	1	19
pi	7	Hello!	1	16
pi	7	$0.000 (sub) 0.0%/272k	1	25
pipy	8	Reply exactly: Hello!	1	16
pipy	8	Working...	1	19
pipy	8	Hello!	1	16
pipy	8	$0.000 (sub) 0.0%/272k	1	25
pi	8	Reply exactly: Hello!	1	16
pi	8	Working...	1	21
pi	8	Hello!	2	16,19
pi	8	$0.000 (sub) 0.0%/272k	1	27
pipy	9	Reply exactly: Hello!	1	16
pipy	9	Working...	1	19
pipy	9	Hello!	1	16
pipy	9	$0.000 (sub) 0.0%/272k	1	25
pi	9	Reply exactly: Hello!	1	16
pi	9	Working...	0	
pi	9	Hello!	2	16,19
pi	9	$0.000 (sub) 0.0%/272k	0	
pipy	10	Reply exactly: Hello!	1	16
pipy	10	Working...	1	19
pipy	10	Hello!	1	16
pipy	10	$0.000 (sub) 0.0%/272k	1	25
pi	10	Reply exactly: Hello!	1	16
pi	10	Working...	0	
pi	10	Hello!	2	16,19
pi	10	$0.000 (sub) 0.0%/272k	0	
pipy	11	Reply exactly: Hello!	1	16
pipy	11	Working...	1	19
pipy	11	Hello!	1	16
pipy	11	$0.000 (sub) 0.0%/272k	1	25
pi	11	Reply exactly: Hello!	1	16
pi	11	Working...	0	
pi	11	Hello!	2	16,19
pi	11	$0.000 (sub) 0.0%/272k	0	
pipy	12	Reply exactly: Hello!	1	16
pipy	12	Working...	1	19
pipy	12	Hello!	1	16
pipy	12	$0.000 (sub) 0.0%/272k	1	25
pi	12	Reply exactly: Hello!	1	16
pi	12	Working...	0	
pi	12	Hello!	2	16,19
pi	12	$0.000 (sub) 0.0%/272k	0	
pipy	13	Reply exactly: Hello!	1	16
pipy	13	Working...	0	
pipy	13	Hello!	2	16,19
pipy	13	$0.000 (sub) 0.0%/272k	1	25
pi	13	Reply exactly: Hello!	1	16
pi	13	Working...	0	
pi	13	Hello!	2	16,19
pi	13	$0.000 (sub) 0.0%/272k	0	
pipy	14	Reply exactly: Hello!	1	16
pipy	14	Working...	0	
pipy	14	Hello!	2	16,19
pipy	14	$0.000 (sub) 0.0%/272k	1	25
pi	14	Reply exactly: Hello!	1	16
pi	14	Working...	0	
pi	14	Hello!	2	16,19
pi	14	$0.000 (sub) 0.0%/272k	0	
pipy	15	Reply exactly: Hello!	1	16
pipy	15	Working...	0	
pipy	15	Hello!	2	16,19
pipy	15	$0.000 (sub) 0.0%/272k	0	
pi	15	Reply exactly: Hello!	1	16
pi	15	Working...	0	
pi	15	Hello!	2	16,19
pi	15	$0.000 (sub) 0.0%/272k	0	
pipy	16	Reply exactly: Hello!	1	16
pipy	16	Working...	0	
pipy	16	Hello!	2	16,19
pipy	16	$0.000 (sub) 0.0%/272k	0	
pi	16	Reply exactly: Hello!	1	16
pi	16	Working...	0	
pi	16	Hello!	2	16,19
pi	16	$0.000 (sub) 0.0%/272k	0	
pipy	17	Reply exactly: Hello!	1	16
pipy	17	Working...	0	
pipy	17	Hello!	2	16,19
pipy	17	$0.000 (sub) 0.0%/272k	0	
pi	17	Reply exactly: Hello!	1	16
pi	17	Working...	0	
pi	17	Hello!	2	16,19
pi	17	$0.000 (sub) 0.0%/272k	0	
pipy	18	Reply exactly: Hello!	1	16
pipy	18	Working...	0	
pipy	18	Hello!	2	16,19
pipy	18	$0.000 (sub) 0.0%/272k	0	
pi	18	Reply exactly: Hello!	1	16
pi	18	Working...	0	
pi	18	Hello!	2	16,19
pi	18	$0.000 (sub) 0.0%/272k	0	
pipy	19	Reply exactly: Hello!	1	16
pipy	19	Working...	0	
pipy	19	Hello!	2	16,19
pipy	19	$0.000 (sub) 0.0%/272k	0	
pi	19	Reply exactly: Hello!	1	16
pi	19	Working...	0	
pi	19	Hello!	2	16,19
pi	19	$0.000 (sub) 0.0%/272k	0	
pipy	20	Reply exactly: Hello!	1	16
pipy	20	Working...	0	
pipy	20	Hello!	2	16,19
pipy	20	$0.000 (sub) 0.0%/272k	0	
pi	20	Reply exactly: Hello!	1	16
pi	20	Working...	0	
pi	20	Hello!	2	16,19
pi	20	$0.000 (sub) 0.0%/272k	0	
pipy	21	Reply exactly: Hello!	1	16
pipy	21	Working...	0	
pipy	21	Hello!	2	16,19
pipy	21	$0.000 (sub) 0.0%/272k	0	
pi	21	Reply exactly: Hello!	1	16
pi	21	Working...	0	
pi	21	Hello!	2	16,19
pi	21	$0.000 (sub) 0.0%/272k	0	
pipy	22	Reply exactly: Hello!	1	16
pipy	22	Working...	0	
pipy	22	Hello!	2	16,19
pipy	22	$0.000 (sub) 0.0%/272k	0	
pi	22	Reply exactly: Hello!	1	16
pi	22	Working...	0	
pi	22	Hello!	2	16,19
pi	22	$0.000 (sub) 0.0%/272k	0	
pipy	23	Reply exactly: Hello!	1	16
pipy	23	Working...	0	
pipy	23	Hello!	2	16,19
pipy	23	$0.000 (sub) 0.0%/272k	0	
pi	23	Reply exactly: Hello!	1	16
pi	23	Working...	0	
pi	23	Hello!	2	16,19
pi	23	$0.000 (sub) 0.0%/272k	0	
pipy	24	Reply exactly: Hello!	1	16
pipy	24	Working...	0	
pipy	24	Hello!	2	16,19
pipy	24	$0.000 (sub) 0.0%/272k	0	
pi	24	Reply exactly: Hello!	1	16
pi	24	Working...	0	
pi	24	Hello!	2	16,19
pi	24	$0.000 (sub) 0.0%/272k	0	
pipy	25	Reply exactly: Hello!	1	16
pipy	25	Working...	0	
pipy	25	Hello!	2	16,19
pipy	25	$0.000 (sub) 0.0%/272k	0	
pi	25	Reply exactly: Hello!	1	16
pi	25	Working...	0	
pi	25	Hello!	2	16,19
pi	25	$0.000 (sub) 0.0%/272k	0	
pipy	26	Reply exactly: Hello!	1	16
pipy	26	Working...	0	
pipy	26	Hello!	2	16,19
pipy	26	$0.000 (sub) 0.0%/272k	0	
pi	26	Reply exactly: Hello!	1	16
pi	26	Working...	0	
pi	26	Hello!	2	16,19
pi	26	$0.000 (sub) 0.0%/272k	0	
pipy	27	Reply exactly: Hello!	1	16
pipy	27	Working...	0	
pipy	27	Hello!	2	16,19
pipy	27	$0.000 (sub) 0.0%/272k	0	
pi	27	Reply exactly: Hello!	1	16
pi	27	Working...	0	
pi	27	Hello!	2	16,19
pi	27	$0.000 (sub) 0.0%/272k	0	
pipy	28	Reply exactly: Hello!	1	16
pipy	28	Working...	0	
pipy	28	Hello!	2	16,19
pipy	28	$0.000 (sub) 0.0%/272k	0	
pi	28	Reply exactly: Hello!	1	16
pi	28	Working...	0	
pi	28	Hello!	2	16,19
pi	28	$0.000 (sub) 0.0%/272k	0	
pipy	29	Reply exactly: Hello!	1	16
pipy	29	Working...	0	
pipy	29	Hello!	2	16,19
pipy	29	$0.000 (sub) 0.0%/272k	0	
pi	29	Reply exactly: Hello!	1	16
pi	29	Working...	0	
pi	29	Hello!	2	16,19
pi	29	$0.000 (sub) 0.0%/272k	0	
pipy	30	Reply exactly: Hello!	1	16
pipy	30	Working...	0	
pipy	30	Hello!	2	16,19
pipy	30	$0.000 (sub) 0.0%/272k	0	
pi	30	Reply exactly: Hello!	1	16
pi	30	Working...	0	
pi	30	Hello!	2	16,19
pi	30	$0.000 (sub) 0.0%/272k	0	
pipy	31	Reply exactly: Hello!	1	16
pipy	31	Working...	0	
pipy	31	Hello!	2	16,19
pipy	31	$0.000 (sub) 0.0%/272k	0	
pi	31	Reply exactly: Hello!	1	16
pi	31	Working...	0	
pi	31	Hello!	2	16,19
pi	31	$0.000 (sub) 0.0%/272k	0	
pipy	32	Reply exactly: Hello!	1	16
pipy	32	Working...	0	
pipy	32	Hello!	2	16,19
pipy	32	$0.000 (sub) 0.0%/272k	0	
pi	32	Reply exactly: Hello!	1	16
pi	32	Working...	0	
pi	32	Hello!	2	16,19
pi	32	$0.000 (sub) 0.0%/272k	0	
pipy	33	Reply exactly: Hello!	1	16
pipy	33	Working...	0	
pipy	33	Hello!	2	16,19
pipy	33	$0.000 (sub) 0.0%/272k	0	
pi	33	Reply exactly: Hello!	1	16
pi	33	Working...	0	
pi	33	Hello!	2	16,19
pi	33	$0.000 (sub) 0.0%/272k	0	
pipy	34	Reply exactly: Hello!	1	16
pipy	34	Working...	0	
pipy	34	Hello!	2	16,19
pipy	34	$0.000 (sub) 0.0%/272k	0	
pi	34	Reply exactly: Hello!	1	16
pi	34	Working...	0	
pi	34	Hello!	2	16,19
pi	34	$0.000 (sub) 0.0%/272k	0	
pipy	35	Reply exactly: Hello!	1	16
pipy	35	Working...	0	
pipy	35	Hello!	2	16,19
pipy	35	$0.000 (sub) 0.0%/272k	0	
pi	35	Reply exactly: Hello!	1	16
pi	35	Working...	0	
pi	35	Hello!	2	16,19
pi	35	$0.000 (sub) 0.0%/272k	0	
pipy	36	Reply exactly: Hello!	1	16
pipy	36	Working...	0	
pipy	36	Hello!	2	16,19
pipy	36	$0.000 (sub) 0.0%/272k	0	
pi	36	Reply exactly: Hello!	1	16
pi	36	Working...	0	
pi	36	Hello!	2	16,19
pi	36	$0.000 (sub) 0.0%/272k	0	
pipy	37	Reply exactly: Hello!	1	16
pipy	37	Working...	0	
pipy	37	Hello!	2	16,19
pipy	37	$0.000 (sub) 0.0%/272k	0	
pi	37	Reply exactly: Hello!	1	16
pi	37	Working...	0	
pi	37	Hello!	2	16,19
pi	37	$0.000 (sub) 0.0%/272k	0	
pipy	38	Reply exactly: Hello!	1	16
pipy	38	Working...	0	
pipy	38	Hello!	2	16,19
pipy	38	$0.000 (sub) 0.0%/272k	0	
pi	38	Reply exactly: Hello!	1	16
pi	38	Working...	0	
pi	38	Hello!	2	16,19
pi	38	$0.000 (sub) 0.0%/272k	0	
pipy	39	Reply exactly: Hello!	1	16
pipy	39	Working...	0	
pipy	39	Hello!	2	16,19
pipy	39	$0.000 (sub) 0.0%/272k	0	
pi	39	Reply exactly: Hello!	1	16
pi	39	Working...	0	
pi	39	Hello!	2	16,19
pi	39	$0.000 (sub) 0.0%/272k	0	
pipy	40	Reply exactly: Hello!	1	16
pipy	40	Working...	0	
pipy	40	Hello!	2	16,19
pipy	40	$0.000 (sub) 0.0%/272k	0	
pi	40	Reply exactly: Hello!	1	16
pi	40	Working...	0	
pi	40	Hello!	2	16,19
pi	40	$0.000 (sub) 0.0%/272k	0	
pipy	41	Reply exactly: Hello!	1	16
pipy	41	Working...	0	
pipy	41	Hello!	2	16,19
pipy	41	$0.000 (sub) 0.0%/272k	0	
pi	41	Reply exactly: Hello!	1	16
pi	41	Working...	0	
pi	41	Hello!	2	16,19
pi	41	$0.000 (sub) 0.0%/272k	0	
pipy	42	Reply exactly: Hello!	1	16
pipy	42	Working...	0	
pipy	42	Hello!	2	16,19
pipy	42	$0.000 (sub) 0.0%/272k	0	
pi	42	Reply exactly: Hello!	1	16
pi	42	Working...	0	
pi	42	Hello!	2	16,19
pi	42	$0.000 (sub) 0.0%/272k	0	
pipy	43	Reply exactly: Hello!	1	16
pipy	43	Working...	0	
pipy	43	Hello!	2	16,19
pipy	43	$0.000 (sub) 0.0%/272k	0	
pi	43	Reply exactly: Hello!	1	16
pi	43	Working...	0	
pi	43	Hello!	2	16,19
pi	43	$0.000 (sub) 0.0%/272k	0	
pipy	44	Reply exactly: Hello!	1	16
pipy	44	Working...	0	
pipy	44	Hello!	2	16,19
pipy	44	$0.000 (sub) 0.0%/272k	0	
pi	44	Reply exactly: Hello!	1	16
pi	44	Working...	0	
pi	44	Hello!	2	16,19
pi	44	$0.000 (sub) 0.0%/272k	0	
pipy	45	Reply exactly: Hello!	1	16
pipy	45	Working...	0	
pipy	45	Hello!	2	16,19
pipy	45	$0.000 (sub) 0.0%/272k	0	
pi	45	Reply exactly: Hello!	1	16
pi	45	Working...	0	
pi	45	Hello!	2	16,19
pi	45	$0.000 (sub) 0.0%/272k	0	
pipy	46	Reply exactly: Hello!	1	16
pipy	46	Working...	0	
pipy	46	Hello!	2	16,19
pipy	46	$0.000 (sub) 0.0%/272k	0	
pi	46	Reply exactly: Hello!	1	16
pi	46	Working...	0	
pi	46	Hello!	2	16,19
pi	46	$0.000 (sub) 0.0%/272k	0	
pipy	47	Reply exactly: Hello!	1	16
pipy	47	Working...	0	
pipy	47	Hello!	2	16,19
pipy	47	$0.000 (sub) 0.0%/272k	0	
pi	47	Reply exactly: Hello!	1	16
pi	47	Working...	0	
pi	47	Hello!	2	16,19
pi	47	$0.000 (sub) 0.0%/272k	0	
pipy	48	Reply exactly: Hello!	1	16
pipy	48	Working...	0	
pipy	48	Hello!	2	16,19
pipy	48	$0.000 (sub) 0.0%/272k	0	
pi	48	Reply exactly: Hello!	1	16
pi	48	Working...	0	
pi	48	Hello!	2	16,19
pi	48	$0.000 (sub) 0.0%/272k	0	
pipy	49	Reply exactly: Hello!	1	16
pipy	49	Working...	0	
pipy	49	Hello!	2	16,19
pipy	49	$0.000 (sub) 0.0%/272k	0	
pi	49	Reply exactly: Hello!	1	16
pi	49	Working...	0	
pi	49	Hello!	2	16,19
pi	49	$0.000 (sub) 0.0%/272k	0	
pipy	50	Reply exactly: Hello!	1	16
pipy	50	Working...	0	
pipy	50	Hello!	2	16,19
pipy	50	$0.000 (sub) 0.0%/272k	0	
pi	50	Reply exactly: Hello!	1	16
pi	50	Working...	0	
pi	50	Hello!	2	16,19
pi	50	$0.000 (sub) 0.0%/272k	0	
pipy	51	Reply exactly: Hello!	1	16
pipy	51	Working...	0	
pipy	51	Hello!	2	16,19
pipy	51	$0.000 (sub) 0.0%/272k	0	
pi	51	Reply exactly: Hello!	1	16
pi	51	Working...	0	
pi	51	Hello!	2	16,19
pi	51	$0.000 (sub) 0.0%/272k	0	
pipy	52	Reply exactly: Hello!	1	16
pipy	52	Working...	0	
pipy	52	Hello!	2	16,19
pipy	52	$0.000 (sub) 0.0%/272k	0	
pi	52	Reply exactly: Hello!	1	16
pi	52	Working...	0	
pi	52	Hello!	2	16,19
pi	52	$0.000 (sub) 0.0%/272k	0	
pipy	53	Reply exactly: Hello!	1	16
pipy	53	Working...	0	
pipy	53	Hello!	2	16,19
pipy	53	$0.000 (sub) 0.0%/272k	0	
pi	53	Reply exactly: Hello!	1	16
pi	53	Working...	0	
pi	53	Hello!	2	16,19
pi	53	$0.000 (sub) 0.0%/272k	0	
pipy	54	Reply exactly: Hello!	1	16
pipy	54	Working...	0	
pipy	54	Hello!	2	16,19
pipy	54	$0.000 (sub) 0.0%/272k	0	
pi	54	Reply exactly: Hello!	1	16
pi	54	Working...	0	
pi	54	Hello!	2	16,19
pi	54	$0.000 (sub) 0.0%/272k	0	
pipy	55	Reply exactly: Hello!	1	16
pipy	55	Working...	0	
pipy	55	Hello!	2	16,19
pipy	55	$0.000 (sub) 0.0%/272k	0	
pi	55	Reply exactly: Hello!	1	16
pi	55	Working...	0	
pi	55	Hello!	2	16,19
pi	55	$0.000 (sub) 0.0%/272k	0	
pipy	56	Reply exactly: Hello!	1	16
pipy	56	Working...	0	
pipy	56	Hello!	2	16,19
pipy	56	$0.000 (sub) 0.0%/272k	0	
pi	56	Reply exactly: Hello!	1	16
pi	56	Working...	0	
pi	56	Hello!	2	16,19
pi	56	$0.000 (sub) 0.0%/272k	0	
pipy	57	Reply exactly: Hello!	1	16
pipy	57	Working...	0	
pipy	57	Hello!	2	16,19
pipy	57	$0.000 (sub) 0.0%/272k	0	
pi	57	Reply exactly: Hello!	1	16
pi	57	Working...	0	
pi	57	Hello!	2	16,19
pi	57	$0.000 (sub) 0.0%/272k	0	
pipy	58	Reply exactly: Hello!	1	16
pipy	58	Working...	0	
pipy	58	Hello!	2	16,19
pipy	58	$0.000 (sub) 0.0%/272k	0	
pi	58	Reply exactly: Hello!	1	16
pi	58	Working...	0	
pi	58	Hello!	2	16,19
pi	58	$0.000 (sub) 0.0%/272k	0	
pipy	59	Reply exactly: Hello!	1	16
pipy	59	Working...	0	
pipy	59	Hello!	2	16,19
pipy	59	$0.000 (sub) 0.0%/272k	0	
pi	59	Reply exactly: Hello!	1	16
pi	59	Working...	0	
pi	59	Hello!	2	16,19
pi	59	$0.000 (sub) 0.0%/272k	0	
pipy	60	Reply exactly: Hello!	1	16
pipy	60	Working...	0	
pipy	60	Hello!	2	16,19
pipy	60	$0.000 (sub) 0.0%/272k	0	
pi	60	Reply exactly: Hello!	1	16
pi	60	Working...	0	
pi	60	Hello!	2	16,19
pi	60	$0.000 (sub) 0.0%/272k	0	
pipy	61	Reply exactly: Hello!	1	16
pipy	61	Working...	0	
pipy	61	Hello!	2	16,19
pipy	61	$0.000 (sub) 0.0%/272k	0	
pi	61	Reply exactly: Hello!	1	16
pi	61	Working...	0	
pi	61	Hello!	2	16,19
pi	61	$0.000 (sub) 0.0%/272k	0	
pipy	62	Reply exactly: Hello!	1	16
pipy	62	Working...	0	
pipy	62	Hello!	2	16,19
pipy	62	$0.000 (sub) 0.0%/272k	0	
pi	62	Reply exactly: Hello!	1	16
pi	62	Working...	0	
pi	62	Hello!	2	16,19
pi	62	$0.000 (sub) 0.0%/272k	0	
pipy	63	Reply exactly: Hello!	1	16
pipy	63	Working...	0	
pipy	63	Hello!	2	16,19
pipy	63	$0.000 (sub) 0.0%/272k	0	
pi	63	Reply exactly: Hello!	1	16
pi	63	Working...	0	
pi	63	Hello!	2	16,19
pi	63	$0.000 (sub) 0.0%/272k	0	
pipy	64	Reply exactly: Hello!	1	16
pipy	64	Working...	0	
pipy	64	Hello!	2	16,19
pipy	64	$0.000 (sub) 0.0%/272k	0	
pi	64	Reply exactly: Hello!	1	16
pi	64	Working...	0	
pi	64	Hello!	2	16,19
pi	64	$0.000 (sub) 0.0%/272k	0	
pipy	65	Reply exactly: Hello!	1	16
pipy	65	Working...	0	
pipy	65	Hello!	2	16,19
pipy	65	$0.000 (sub) 0.0%/272k	0	
pi	65	Reply exactly: Hello!	1	16
pi	65	Working...	0	
pi	65	Hello!	2	16,19
pi	65	$0.000 (sub) 0.0%/272k	0	
pipy	66	Reply exactly: Hello!	1	16
pipy	66	Working...	0	
pipy	66	Hello!	2	16,19
pipy	66	$0.000 (sub) 0.0%/272k	0	
pi	66	Reply exactly: Hello!	1	16
pi	66	Working...	0	
pi	66	Hello!	2	16,19
pi	66	$0.000 (sub) 0.0%/272k	0	
pipy	67	Reply exactly: Hello!	1	16
pipy	67	Working...	0	
pipy	67	Hello!	2	16,19
pipy	67	$0.000 (sub) 0.0%/272k	0	
pi	67	Reply exactly: Hello!	1	16
pi	67	Working...	0	
pi	67	Hello!	2	16,19
pi	67	$0.000 (sub) 0.0%/272k	0	
pipy	68	Reply exactly: Hello!	1	16
pipy	68	Working...	0	
pipy	68	Hello!	2	16,19
pipy	68	$0.000 (sub) 0.0%/272k	0	
pi	68	Reply exactly: Hello!	1	16
pi	68	Working...	0	
pi	68	Hello!	2	16,19
pi	68	$0.000 (sub) 0.0%/272k	0	
pipy	69	Reply exactly: Hello!	1	16
pipy	69	Working...	0	
pipy	69	Hello!	2	16,19
pipy	69	$0.000 (sub) 0.0%/272k	0	
pi	69	Reply exactly: Hello!	1	16
pi	69	Working...	0	
pi	69	Hello!	2	16,19
pi	69	$0.000 (sub) 0.0%/272k	0	
pipy	70	Reply exactly: Hello!	1	16
pipy	70	Working...	0	
pipy	70	Hello!	2	16,19
pipy	70	$0.000 (sub) 0.0%/272k	0	
pi	70	Reply exactly: Hello!	1	16
pi	70	Working...	0	
pi	70	Hello!	2	16,19
pi	70	$0.000 (sub) 0.0%/272k	0	
pipy	71	Reply exactly: Hello!	1	16
pipy	71	Working...	0	
pipy	71	Hello!	2	16,19
pipy	71	$0.000 (sub) 0.0%/272k	0	
pi	71	Reply exactly: Hello!	1	16
pi	71	Working...	0	
pi	71	Hello!	2	16,19
pi	71	$0.000 (sub) 0.0%/272k	0	
pipy	72	Reply exactly: Hello!	1	16
pipy	72	Working...	0	
pipy	72	Hello!	2	16,19
pipy	72	$0.000 (sub) 0.0%/272k	0	
pi	72	Reply exactly: Hello!	1	16
pi	72	Working...	0	
pi	72	Hello!	2	16,19
pi	72	$0.000 (sub) 0.0%/272k	0	
pipy	73	Reply exactly: Hello!	1	16
pipy	73	Working...	0	
pipy	73	Hello!	2	16,19
pipy	73	$0.000 (sub) 0.0%/272k	0	
pi	73	Reply exactly: Hello!	1	16
pi	73	Working...	0	
pi	73	Hello!	2	16,19
pi	73	$0.000 (sub) 0.0%/272k	0	
pipy	74	Reply exactly: Hello!	1	16
pipy	74	Working...	0	
pipy	74	Hello!	2	16,19
pipy	74	$0.000 (sub) 0.0%/272k	0	
pi	74	Reply exactly: Hello!	1	16
pi	74	Working...	0	
pi	74	Hello!	2	16,19
pi	74	$0.000 (sub) 0.0%/272k	0	
pipy	75	Reply exactly: Hello!	1	16
pipy	75	Working...	0	
pipy	75	Hello!	2	16,19
pipy	75	$0.000 (sub) 0.0%/272k	0	
pi	75	Reply exactly: Hello!	1	16
pi	75	Working...	0	
pi	75	Hello!	2	16,19
pi	75	$0.000 (sub) 0.0%/272k	0	
pipy	76	Reply exactly: Hello!	1	16
pipy	76	Working...	0	
pipy	76	Hello!	2	16,19
pipy	76	$0.000 (sub) 0.0%/272k	0	
pi	76	Reply exactly: Hello!	1	16
pi	76	Working...	0	
pi	76	Hello!	2	16,19
pi	76	$0.000 (sub) 0.0%/272k	0	
pipy	77	Reply exactly: Hello!	1	16
pipy	77	Working...	0	
pipy	77	Hello!	2	16,19
pipy	77	$0.000 (sub) 0.0%/272k	0	
pi	77	Reply exactly: Hello!	1	16
pi	77	Working...	0	
pi	77	Hello!	2	16,19
pi	77	$0.000 (sub) 0.0%/272k	0	
pipy	78	Reply exactly: Hello!	1	16
pipy	78	Working...	0	
pipy	78	Hello!	2	16,19
pipy	78	$0.000 (sub) 0.0%/272k	0	
pi	78	Reply exactly: Hello!	1	16
pi	78	Working...	0	
pi	78	Hello!	2	16,19
pi	78	$0.000 (sub) 0.0%/272k	0	
pipy	79	Reply exactly: Hello!	1	16
pipy	79	Working...	0	
pipy	79	Hello!	2	16,19
pipy	79	$0.000 (sub) 0.0%/272k	0	
pi	79	Reply exactly: Hello!	1	16
pi	79	Working...	0	
pi	79	Hello!	2	16,19
pi	79	$0.000 (sub) 0.0%/272k	0	
pipy	80	Reply exactly: Hello!	1	16
pipy	80	Working...	0	
pipy	80	Hello!	2	16,19
pipy	80	$0.000 (sub) 0.0%/272k	0	
pi	80	Reply exactly: Hello!	1	16
pi	80	Working...	0	
pi	80	Hello!	2	16,19
pi	80	$0.000 (sub) 0.0%/272k	0	
pipy	81	Reply exactly: Hello!	1	16
pipy	81	Working...	0	
pipy	81	Hello!	2	16,19
pipy	81	$0.000 (sub) 0.0%/272k	0	
pi	81	Reply exactly: Hello!	1	16
pi	81	Working...	0	
pi	81	Hello!	2	16,19
pi	81	$0.000 (sub) 0.0%/272k	0	
pipy	82	Reply exactly: Hello!	1	16
pipy	82	Working...	0	
pipy	82	Hello!	2	16,19
pipy	82	$0.000 (sub) 0.0%/272k	0	
pi	82	Reply exactly: Hello!	1	16
pi	82	Working...	0	
pi	82	Hello!	2	16,19
pi	82	$0.000 (sub) 0.0%/272k	0	
pipy	83	Reply exactly: Hello!	1	16
pipy	83	Working...	0	
pipy	83	Hello!	2	16,19
pipy	83	$0.000 (sub) 0.0%/272k	0	
pi	83	Reply exactly: Hello!	1	16
pi	83	Working...	0	
pi	83	Hello!	2	16,19
pi	83	$0.000 (sub) 0.0%/272k	0	
pipy	84	Reply exactly: Hello!	1	16
pipy	84	Working...	0	
pipy	84	Hello!	2	16,19
pipy	84	$0.000 (sub) 0.0%/272k	0	
pi	84	Reply exactly: Hello!	1	16
pi	84	Working...	0	
pi	84	Hello!	2	16,19
pi	84	$0.000 (sub) 0.0%/272k	0	
pipy	85	Reply exactly: Hello!	1	16
pipy	85	Working...	0	
pipy	85	Hello!	2	16,19
pipy	85	$0.000 (sub) 0.0%/272k	0	
pi	85	Reply exactly: Hello!	1	16
pi	85	Working...	0	
pi	85	Hello!	2	16,19
pi	85	$0.000 (sub) 0.0%/272k	0	
pipy	86	Reply exactly: Hello!	1	16
pipy	86	Working...	0	
pipy	86	Hello!	2	16,19
pipy	86	$0.000 (sub) 0.0%/272k	0	
pi	86	Reply exactly: Hello!	1	16
pi	86	Working...	0	
pi	86	Hello!	2	16,19
pi	86	$0.000 (sub) 0.0%/272k	0	
pipy	87	Reply exactly: Hello!	1	16
pipy	87	Working...	0	
pipy	87	Hello!	2	16,19
pipy	87	$0.000 (sub) 0.0%/272k	0	
pi	87	Reply exactly: Hello!	1	16
pi	87	Working...	0	
pi	87	Hello!	2	16,19
pi	87	$0.000 (sub) 0.0%/272k	0	
pipy	88	Reply exactly: Hello!	1	16
pipy	88	Working...	0	
pipy	88	Hello!	2	16,19
pipy	88	$0.000 (sub) 0.0%/272k	0	
pi	88	Reply exactly: Hello!	1	16
pi	88	Working...	0	
pi	88	Hello!	2	16,19
pi	88	$0.000 (sub) 0.0%/272k	0	
pipy	89	Reply exactly: Hello!	1	16
pipy	89	Working...	0	
pipy	89	Hello!	2	16,19
pipy	89	$0.000 (sub) 0.0%/272k	0	
pi	89	Reply exactly: Hello!	1	16
pi	89	Working...	0	
pi	89	Hello!	2	16,19
pi	89	$0.000 (sub) 0.0%/272k	0	
pipy	90	Reply exactly: Hello!	1	16
pipy	90	Working...	0	
pipy	90	Hello!	2	16,19
pipy	90	$0.000 (sub) 0.0%/272k	0	
pi	90	Reply exactly: Hello!	1	16
