label	frame	needle	row	line
pi	8	────────────────	23	────────────────────────────────────────────────────────────────────────────────────────────────────
pi	8	~/projects/pipy	24	~/projects/pipy (main)
pipy	9	hello	16	 hello
pipy	9	Working...	19	 ⠼ Working...
pipy	9	────────────────	21	────────────────────────────────────────────────────────────────────────────────────────────────────
pipy	9	────────────────	23	────────────────────────────────────────────────────────────────────────────────────────────────────
pipy	9	~/projects/pipy	24	~/projects/pipy (main)
pi	9	hello	16	 hello
pi	9	Hello	19	 Hello! How can
pi	9	Working...	21	 ⠼ Working...
pi	9	────────────────	23	────────────────────────────────────────────────────────────────────────────────────────────────────
pi	9	────────────────	25	────────────────────────────────────────────────────────────────────────────────────────────────────
pi	9	~/projects/pipy	26	~/projects/pipy (main)
pipy	10	hello	16	 hello
pipy	10	Hello	19	 Hello!
pipy	10	Working...	21	 ⠴ Working...
pipy	10	────────────────	23	────────────────────────────────────────────────────────────────────────────────────────────────────
pipy	10	────────────────	25	────────────────────────────────────────────────────────────────────────────────────────────────────
pipy	10	~/projects/pipy	26	~/projects/pipy (main)
pi	10	hello	16	 hello
pi	10	Hello	19	 Hello! How can I help?
pi	10	Working...	21	 ⠦ Working...
pi	10	────────────────	23	────────────────────────────────────────────────────────────────────────────────────────────────────
pi	10	────────────────	25	────────────────────────────────────────────────────────────────────────────────────────────────────
pi	10	~/projects/pipy	26	~/projects/pipy (main)
pipy	11	hello	16	 hello
pipy	11	Hello	19	 Hello! How can I
pipy	11	Working...	21	 ⠴ Working...
pipy	11	────────────────	23	────────────────────────────────────────────────────────────────────────────────────────────────────
pipy	11	────────────────	25	────────────────────────────────────────────────────────────────────────────────────────────────────
pipy	11	~/projects/pipy	26	~/projects/pipy (main)
pi	11	hello	16	 hello
pi	11	Hello	19	 Hello! How can I help?
pi	11	────────────────	21	────────────────────────────────────────────────────────────────────────────────────────────────────
pi	11	────────────────	23	────────────────────────────────────────────────────────────────────────────────────────────────────
pi	11	~/projects/pipy	24	~/projects/pipy (main)
pipy	12	hello	16	 hello
pipy	12	Hello	19	 Hello! How can I help with this workspace
pipy	12	Working...	21	 ⠴ Working...
pipy	12	────────────────	23	────────────────────────────────────────────────────────────────────────────────────────────────────
pipy	12	────────────────	25	────────────────────────────────────────────────────────────────────────────────────────────────────
pipy	12	~/projects/pipy	26	~/projects/pipy (main)
pi	12	hello	16	 hello
pi	12	Hello	19	 Hello! How can I help?
pi	12	────────────────	21	────────────────────────────────────────────────────────────────────────────────────────────────────
pi	12	────────────────	23	────────────────────────────────────────────────────────────────────────────────────────────────────
pi	12	~/projects/pipy	24	~/projects/pipy (main)
pipy	13	hello	16	 hello
pipy	13	Hello	19	 Hello! How can I help with this workspace?
pipy	13	Working...	21	 ⠴ Working...
pipy	13	────────────────	23	────────────────────────────────────────────────────────────────────────────────────────────────────
pipy	13	────────────────	25	────────────────────────────────────────────────────────────────────────────────────────────────────
pipy	13	~/projects/pipy	26	~/projects/pipy (main)
pi	13	hello	16	 hello
pi	13	Hello	19	 Hello! How can I help?
pi	13	────────────────	21	────────────────────────────────────────────────────────────────────────────────────────────────────
pi	13	────────────────	23	────────────────────────────────────────────────────────────────────────────────────────────────────
pi	13	~/projects/pipy	24	~/projects/pipy (main)
pipy	14	hello	16	 hello
pipy	14	Hello	19	 Hello! How can I help with this workspace?
pipy	14	────────────────	21	────────────────────────────────────────────────────────────────────────────────────────────────────
pipy	14	────────────────	23	────────────────────────────────────────────────────────────────────────────────────────────────────
pipy	14	~/projects/pipy	24	~/projects/pipy (main)
pi	14	hello	16	 hello
pi	14	Hello	19	 Hello! How can I help?
pi	14	────────────────	21	────────────────────────────────────────────────────────────────────────────────────────────────────
pi	14	────────────────	23	────────────────────────────────────────────────────────────────────────────────────────────────────
pi	14	~/projects/pipy	24	~/projects/pipy (main)
pipy	15	hello	16	 hello
pipy	15	Hello	19	 Hello! How can I help with this workspace?
pipy	15	────────────────	21	────────────────────────────────────────────────────────────────────────────────────────────────────
pipy	15	────────────────	23	────────────────────────────────────────────────────────────────────────────────────────────────────
pipy	15	~/projects/pipy	24	~/projects/pipy (main)
pi	15	hello	16	 hello
pi	15	Hello	19	 Hello! How can I help?
pi	15	────────────────	21	────────────────────────────────────────────────────────────────────────────────────────────────────
pi	15	────────────────	23	────────────────────────────────────────────────────────────────────────────────────────────────────
pi	15	~/projects/pipy	24	~/projects/pipy (main)
pipy	16	hello	16	 hello
pipy	16	Hello	19	 Hello! How can I help with this workspace?
pipy	16	────────────────	21	────────────────────────────────────────────────────────────────────────────────────────────────────
pipy	16	────────────────	23	────────────────────────────────────────────────────────────────────────────────────────────────────
pipy	16	~/projects/pipy	24	~/projects/pipy (main)
pi	16	hello	16	 hello
pi	16	Hello	19	 Hello! How can I help?
pi	16	────────────────	21	────────────────────────────────────────────────────────────────────────────────────────────────────
pi	16	────────────────	23	────────────────────────────────────────────────────────────────────────────────────────────────────
pi	16	~/projects/pipy	24	~/projects/pipy (main)
