frame	phase	cursor_x	cursor_y	pane_active
0	startup	0	22	1
1	active	0	22	1
2	active	0	22	1
3	active	0	22	1
4	active	0	22	1
5	active	0	22	1
6	active	0	22	1
7	active	0	22	1
8	active	0	22	1
9	final	0	22	1
