label	frame	needle	count	rows
pi	20	Working...	0	
pi	20	Hello!	2	22,25
pi	20	$0.000 (sub) 0.0%/272k	0	
pipy	21	Reply exactly: Hello!	1	16
pipy	21	Working...	0	
pipy	21	Hello!	2	16,19
pipy	21	$0.000 (sub) 0.0%/272k	0	
pi	21	Reply exactly: Hello!	1	22
pi	21	Working...	0	
pi	21	Hello!	2	22,25
pi	21	$0.000 (sub) 0.0%/272k	0	
pipy	22	Reply exactly: Hello!	1	16
pipy	22	Working...	0	
pipy	22	Hello!	2	16,19
pipy	22	$0.000 (sub) 0.0%/272k	0	
pi	22	Reply exactly: Hello!	1	22
pi	22	Working...	0	
pi	22	Hello!	2	22,25
pi	22	$0.000 (sub) 0.0%/272k	0	
pipy	23	Reply exactly: Hello!	1	16
pipy	23	Working...	0	
pipy	23	Hello!	2	16,19
pipy	23	$0.000 (sub) 0.0%/272k	0	
pi	23	Reply exactly: Hello!	1	22
pi	23	Working...	0	
pi	23	Hello!	2	22,25
pi	23	$0.000 (sub) 0.0%/272k	0	
pipy	24	Reply exactly: Hello!	1	16
pipy	24	Working...	0	
pipy	24	Hello!	2	16,19
pipy	24	$0.000 (sub) 0.0%/272k	0	
pi	24	Reply exactly: Hello!	1	22
pi	24	Working...	0	
pi	24	Hello!	2	22,25
pi	24	$0.000 (sub) 0.0%/272k	0	
pipy	25	Reply exactly: Hello!	1	16
pipy	25	Working...	0	
pipy	25	Hello!	2	16,19
pipy	25	$0.000 (sub) 0.0%/272k	0	
pi	25	Reply exactly: Hello!	1	22
pi	25	Working...	0	
pi	25	Hello!	2	22,25
pi	25	$0.000 (sub) 0.0%/272k	0	
pipy	26	Reply exactly: Hello!	1	16
pipy	26	Working...	0	
pipy	26	Hello!	2	16,19
pipy	26	$0.000 (sub) 0.0%/272k	0	
pi	26	Reply exactly: Hello!	1	22
pi	26	Working...	0	
pi	26	Hello!	2	22,25
pi	26	$0.000 (sub) 0.0%/272k	0	
pipy	27	Reply exactly: Hello!	1	16
pipy	27	Working...	0	
pipy	27	Hello!	2	16,19
pipy	27	$0.000 (sub) 0.0%/272k	0	
pi	27	Reply exactly: Hello!	1	22
pi	27	Working...	0	
pi	27	Hello!	2	22,25
pi	27	$0.000 (sub) 0.0%/272k	0	
pipy	28	Reply exactly: Hello!	1	16
pipy	28	Working...	0	
pipy	28	Hello!	2	16,19
pipy	28	$0.000 (sub) 0.0%/272k	0	
pi	28	Reply exactly: Hello!	1	22
pi	28	Working...	0	
pi	28	Hello!	2	22,25
pi	28	$0.000 (sub) 0.0%/272k	0	
pipy	29	Reply exactly: Hello!	1	16
pipy	29	Working...	0	
pipy	29	Hello!	2	16,19
pipy	29	$0.000 (sub) 0.0%/272k	0	
pi	29	Reply exactly: Hello!	1	22
pi	29	Working...	0	
pi	29	Hello!	2	22,25
pi	29	$0.000 (sub) 0.0%/272k	0	
pipy	30	Reply exactly: Hello!	1	16
pipy	30	Working...	0	
pipy	30	Hello!	2	16,19
pipy	30	$0.000 (sub) 0.0%/272k	0	
pi	30	Reply exactly: Hello!	1	22
pi	30	Working...	0	
pi	30	Hello!	2	22,25
pi	30	$0.000 (sub) 0.0%/272k	0	
pipy	31	Reply exactly: Hello!	1	16
pipy	31	Working...	0	
pipy	31	Hello!	2	16,19
pipy	31	$0.000 (sub) 0.0%/272k	0	
