key	value
session	pi-tui-verify-3515
pane_columns	100
pane_rows	24
prompt	hello world
expected_output	Hello!
command	pi --provider openai-codex --model gpt-5.5
settled	yes
anomaly_count	0
screen_metrics	docs/audit/2026-05-28/hello-world-rows24-after-fix/pi/screen-metrics.jsonl
terminal_report	docs/audit/2026-05-28/hello-world-rows24-after-fix/pi/terminal-report.json
